essay_id,essay_set,essay,rater1_domain1,rater2_domain1,domain1_score
23,5,"संस्मरण के लेखक द्वारा निर्मित मनोदशा मधुर और पारिवारिक है। शुरुआत से ही, लेखक भौतिक स्थान की तुलना में घर को जीवन के तरीके के रूप में वर्णित करता है। लेखक के ""माता-पिता ने हमारे पारंपरिक क्यूबा घर का निर्माण किया, जिसका हिस्सा रसोई था"" (@संख्या1)। यहां, घर को परिवार के एक हिस्से के रूप में और भी अधिक वर्णित किया गया है, एक इमारत कम है। परिवार की भावना को बढ़ाने के लिए, लेखक में आतिथ्य की कहानियाँ शामिल हैं: ""मेरे माता-पिता ने हमेशा अपने हथियार और अपने दरवाजे को कई लोगों के लिए रखा जिन्हें वह परिवार मानते थे"" (@संख्या2)। आतिथ्य सबसे अच्छे गुणों में से एक है जिसे आपको घर बनाने के लिए आवश्यक है और लेखक वास्तव में इसे बढ़ाता है। संस्मरण के लेखक द्वारा निर्मित मनोदशा मधुर और पारिवारिक है।",2,2,4
24,5,"लेखक, नार्सिसो रोड्रिगेज, अपने संस्मरण में एक बहुत खुश मिजाज बनाता है। सेटिंग की वजह से मूड खुश है। नार्सीसो अपने घर का वर्णन करता है और कहता है, ""यहाँ, बचपन की मासूमियत, परिवार और दोस्तों की मण्डली और दोनों को शामिल करने वाले अंतहीन समारोहों ने हमारे गर्म घर में जीवन के लिए बैक-ड्रॉप का गठन किया।"" लेखक कई अच्छे दोस्तों और अच्छी यादों से भरे घर का वर्णन करता है। एक कारण यह है कि लेखक कितना आभारी है। इसमें कहा गया है, ""वे निःस्वार्थ भाव से आए, जैसा कि कई अप्रवासी करते हैं, अपने बच्चों को बेहतर जीवन देने के लिए, भले ही इसका मतलब था कि वे अपने परिवार, दोस्तों और करियर को पीछे छोड़ते हैं, जिस देश में वे प्यार करते थे।"" जबकि उन्हें अपने बच्चों के लिए और एक नए जीवन के लिए यह सब कुछ छोड़ना पड़ा। लेखक खुश है कि उन्होंने किया। इसके अलावा, लेखक उसे एक परिवार देने के साथ घर का श्रेय देता है। @नाम1 कहते हैं, ""यह यहाँ था कि मैंने 'परिवार' शब्द की वास्तविक परिभाषा सीखी।"" और इसके लिए मैं हमेशा आभारी रहूंगा। ” @नाम1 ने इस घर में बहुत कुछ सीखा और उसके लिए बहुत खुश हैं। नार्सिसो रोड्रिगेज के संस्मरण में @नाम1 बहुत खुश मिजाज बनाता है।",4,4,8
25,5,"इस संस्मरण के आधार पर, लेखक द्वारा बनाई गई मनोदशा यह एक महान मनोदशा है। इस लेख में @व्यक्ति1 नाम के एक युवक के बारे में बात की गई है और उसका जीवन तब से और अब तक कैसा था। उदाहरण के लिए, अनुच्छेद @संख्या1 पर, वह हमेशा अपने माता-पिता के प्रति उनके प्यार और बलिदान के लिए आभारी रहेंगे। और कैसे उन्होंने हमेशा उन्हें बताया कि उन्होंने जो किया वह बहुत अधिक साहसी काम था जो मैं कभी भी कर सकता था। इसके अलावा, क्यूबाई संगीत कितना भावुक था, इतना प्यार करता था, और कैसे उसके माता-पिता ने एक साधारण घर को एक घर में बदल दिया। इसलिए, यह लेखक द्वारा बनाया गया मूड है।",2,2,4
26,5,"नार्सिसो रोड्रिगेज द्वारा बनाया गया मूड खुश और आभारी था। उनके माता-पिता ने उन्हें अपने क्यूबा के पीछे के मैदान के बारे में कई बातें सिखाईं, जैसे कि खाना पकाना और संगीत। उनके माता-पिता ने नार्सिसो को आराम देने और घर पर बनाने के लिए कई चीजें दीं। ""मैं अपने प्यार और त्याग के लिए हमेशा अपने माता-पिता का आभारी रहूंगा।"" उनके माता-पिता ने उनके घर को अन्य लोगों के लिए एक घर में बदल दिया। ""मेरे माता-पिता ने हमेशा हमारे परिवार को माना जाने वाले कई लोगों के लिए अपने हथियार और दरवाजे खुले रखे।"" नार्सिसो के माता-पिता किसी को भी ले लेंगे, जब तक उन्हें अपने पैरों पर वापस आने तक रहने की जगह की आवश्यकता नहीं होती। नार्सिसो के माता-पिता समुदाय के लिए बहुत प्यार करते थे और घर पर उस जगह को बनाने में जितना संभव हो सके उतना मदद करते थे।",2,2,4
27,5,"संस्मरण में नार्सिसो रोड्रिग्ज लेखक एक गंभीर, खुश और धन्यवाद मूड बनाता है। लेखक उस बिंदु के प्रति गंभीर था जहां उसके परिवार को आर्थिक और व्यक्तिगत समस्याओं से गुजरना पड़ता था। हालांकि, लेखक खुश था कि कैसे वे विभिन्न देशों के अन्य आप्रवासी के साथ एक दोस्ताना और एकीकृत पड़ोस में रहते थे। लेखक ने धन्यवाद दिखाया क्योंकि उसके माता-पिता ने उसे नया जीवन देने के लिए बहुत मेहनत की। संस्मरण ने एक अच्छे मूड के साथ-साथ एथलीट बचपन के सटीक चित्र को दिखाया।",2,2,4
28,5,"@व्यक्ति1 का मूड खुश और महान था। @व्यक्ति1 आभारी था क्योंकि उसका परिवार एक साथ था और उसके माँ और पिताजी संस्कृति के साथ खुले घर थे। वह खुश था क्योंकि उसका जीवन बेहतर था, अगर वह क्यूबा में रहता तो यह होता। वह @व्यक्ति1 का मूड था।",1,1,2
29,5,"नार्सिसो रोड्रिग्ज के संस्मरण में, उसके घर और हास्य की मनोदशा और खुशी एक सुखद और हार्दिक स्थिति है। ज्यादातर लोग जो शहर में एक छोटे से अपार्टमेंट में रहते हैं, वे कहेंगे कि यह छोटा और तंग था, जबकि वे समुद्र पर एक हवेली की कामना करते थे, लेकिन नार्सिसो उस वातावरण में पूरी तरह से खुश था। जिस तरह से उसने इसका वर्णन किया, उसमें हमेशा शानदार खुशबू, संगीत और हर समय महान लोग थे। नार्सिसो ने कहा कि जिन लोगों ने न्यू जर्सी में अपने घायल अनुभव में सबसे अधिक योगदान दिया, वे उनके माता-पिता थे। वे समर्थन करते थे और उसकी देखभाल करते थे उसी समय वे पैसे के लिए संघर्ष कर रहे थे। उन्होंने कभी दुःख नहीं दिखाया और उन्होंने उससे प्यार किया और उसकी देखभाल की। भले ही नरसीसो शहर के एक छोटे से अपार्टमेंट में रहता था, लेकिन वह और उसका परिवार बताते हैं कि आप किसी भी स्थिति से बाहर निकल सकते हैं।",3,2,5
30,5,"संस्मरण @व्यक्ति1 में यह एक घर को एक घर और एक समुदाय, अपने परिवार को बनाने की बात करता है। ""इस वातावरण में बढ़ते हुए मुझे एक महान समझ पैदा हुई कि"" परिवार ""का रक्त रिश्तेदार होने से कोई लेना-देना नहीं था"" (पैराग्राफ @संख्या1) पैराग्राफ @संख्या1 इस बारे में बात करता है कि इतालवी, स्पैनिश, और क्यूबाई संस्कृतियों में कैसे बढ़ रहा है? एक समुदाय, सभी मतभेदों को अलग करके समुदाय को एक परिवार में बदल देता है। रोड्रिगेज बहुत गर्मजोशी से बात करता है, और अपने बचपन के बारे में कहने के लिए केवल अच्छी चीजों के साथ। संस्मरण के अपने मूड को याद करते हुए रॉड्रिग्ज अपनी संस्कृति से भरे बचपन को याद कर रहा है। ""मैंने"" परिवार ""की वास्तविक परिभाषा सीखी है। और इसके लिए, मैं उस घर या उसके आस-पड़ोस या उन कई चीजों को कभी नहीं भूलूंगा, जहाँ मैंने प्यार करना सीखा था।"" सभी अनुभवों का एक प्रतिबिंब उनके परिवार के भीतर था। वह प्रेमपूर्ण आत्माओं में अपने संस्मरण लिखता है और अपने लिए ""परिवार"" का ज्ञान समर्पित करता है।",4,3,7
31,5,"होम से ""@व्यक्ति1 रोड्रिगेज"" संस्मरण में: @व्यक्ति1 द्वारा हमारे जीवन के ब्लूप्रिंट, मनोदशा कहानी का एक बहुत महत्वपूर्ण हिस्सा है। इस संस्मरण में मनोदशा निश्चित रूप से धन्यवाद है। इस कहानी का मिज़ाज शुक्रगुज़ार होने का पहला कारण है क्योंकि @व्यक्ति1 अपनी क्यूबा विरासत के लिए शुक्रगुज़ार है। @व्यक्ति1 ने अपनी विरासत के लिए अपने प्यार को ""मेरे माता-पिता दोनों साझा खाना पकाने के कर्तव्यों को बताते हुए और अनजाने में अपने समृद्ध पाक कौशल के लिए मुझे दिया"" दिखाते हुए। @व्यक्ति1 बहुत आभारी है कि उसके पास अपनी महान संस्कृति से ये कौशल हैं। इस संस्मरण की मनोदशा का दूसरा कारण यह है कि लेखक अपने घर के लिए आभारी है। ""... हमारे गर्म घर में जीवन की पृष्ठभूमि का गठन"", @व्यक्ति1 अपने संस्मरण में लिखते हैं। यह उद्धरण दर्शाता है कि @व्यक्ति1 अपने घर को कॉल करने के लिए एक अच्छी जगह के लिए आभारी है। अंतिम कारण यह है कि इस संस्मरण की मनोदशा आभारी है कि लेखक अपने मेहनती माता-पिता के लिए आभारी है। ""मैंने अक्सर उन्हें अपनी ताकत और दृढ़ता के लिए अपनी प्रशंसा के बारे में बताया है, और मैंने उन्हें बार-बार धन्यवाद दिया है"", उन्होंने टिप्पणी की। यह निस्संदेह अपने माता-पिता के लिए लेखक के महान सम्मान को दर्शाता है और सभी को उसके लिए खुश और स्वस्थ रहने की पेशकश करनी होगी। शुक्रगुजार एक मनोदशा है जो इस संस्मरण को बहुत अच्छी तरह से सूट करता है, और लेखक ने अपनी विरासत, घर और माता-पिता के लिए जो गर्व और आभार प्रकट किया है वह अद्भुत है।",3,4,7
32,5,"""नार्सिसो रोड्रिग्ज"" में लेखक द्वारा बनाया गया मूड बहुत शांत और खुश है। लेखक यह बहुत शांत और शांत है। जोर से या जोर वाले हिस्से नहीं होते हैं। यह बहुत खुश भी है। इसमें एक परिवार के बढ़ने और एक-दूसरे से प्यार करने का वर्णन है। साथ ही उत्सव और अधिक परिवार के साथ खुशियां मनाते हुए। सबसे खुशहाल रेखा आखिरी थी, ""मैं कभी नहीं भूलूंगी कि कैसे मेरे माता-पिता ने इस साधारण से घर को एक घर में बदल दिया।"" इसका भी बहुत प्यारा लहजा है। साथ आने वाले परिवार के बारे में कुछ भी प्यार करना है।",2,3,5
33,5,"लेखक संस्मरण में विभिन्न प्रकार के मनोभावों को शामिल कर सकता था। मुझे लगता है कि संस्मरण का मूड खुश, महान और सराहना है। मैंने खुश होकर कहा क्योंकि वह हर एक चीज़ के बारे में बात करता है जो वह करता है और वह इसे कैसे आनंद लेता है मैंने कहा कि क्योंकि वह हमेशा अपने माता-पिता को धन्यवाद देता है और वह उनकी प्रशंसा करता है। वह उनकी प्रशंसा करता है क्योंकि तुम्हारा जीवन अच्छे जीवन के लिए बीता है और वे एक अच्छा जीवन पाने के लिए अपनी शक्ति में सब कुछ करते हैं। एक ने उनकी सराहना की उसी बात के कारण जो मैंने उनसे पहले कहा था कि वह उनकी प्रशंसा करती है और हमेशा उनके प्रति आभार व्यक्त करती है कि उन्होंने उसके साथ क्या किया है। यह लेखक की कहानी लिखने के मूड की ओर है।",2,2,4
34,5,"नार्सिसो के संस्मरण में, मुझे खुशी महसूस होती है। मुझे खुशी महसूस हो रही है क्योंकि नार्सिसो के माता-पिता जीवित रहने में सक्षम थे। वे भाषा या संस्कृति के किसी भी ज्ञान के बिना, @स्थान1 पर आए। @नाम1 आप्रवासी परिवारों को अभी वहां पैर नहीं मिलते हैं और उन्होंने किया, एक साल के भीतर वे एक @संख्या1 कमरे के अपार्टमेंट से एक @संख्या2 कमरे के अपार्टमेंट में चले गए। मेरे दिमाग में यह भी आया क्योंकि उन्होंने वहाँ परिवार का स्वागत किया था। आज लोग वहां नौकरी और घर खो रहे हैं और उनके पास जाने के लिए कोई नहीं है, लेकिन रोड्रिग्ज परिवार के पास जाने के लिए जगह थी। ""अनगिनत परिवार के सदस्य आ गए और चले गए- और अक्सर कोई हमारे साथ अस्थायी रूप से तब तक रहता था जब तक कि वे अपने पैरों पर खड़े नहीं हो पाए। मेरे माता-पिता ने हमेशा परिवार के माने जाने वाले कई लोगों के लिए अपने हथियार और अपना दरवाजा खुला रखा, यह जानते हुए कि वे। हमारे लिए भी ऐसा ही होगा। ”",3,2,5
35,5,"लेखक द्वारा माहवारी में बनाया गया मिजाज। लेखक आभारी था कि @स्थान1 में बढ़ने का मौका मिला। जिसका नाम नारसीसो रॉड्रिग्ज है। वह अपने जीवन के बारे में बात करता है, कि वह क्यूबा से आया था। और उसके माता-पिता क्यूबा से आए लोगों का स्वागत करते हैं। वे ""एक साथ बड़ी एकजुटता और मित्रता में"" आते हैं। मुझे लगता है कि उनका मूड हर खुश है। यह देखने के लिए कि उसके माता-पिता ने कुछ नहीं किया है। लेखक माता-पिता उसे अपने जीवन के साथ दिखाते हैं, और उसका शिक्षण ही उसके जीवन का आधार रहा है। मैं उसी तरह महसूस करता हूं क्योंकि मेरे माता-पिता मुझे बेहतर जीवन के लिए यहां लाए थे। मुझे लगता है कि आप अपने माता-पिता से सब कुछ सीखते हैं कि कैसे कार्य करें और वह सब। तो अंतिम वाक्य को उन्होंने कहा कि मुझे यह पसंद आया। उन्होंने कहा कि मैं यह कभी नहीं भूलूंगा कि मेरे माता-पिता ने इस साधारण घर को घर में कैसे बदल दिया।",3,3,6
36,5,"लेखक नार्सिसो रोड्रिगेज ने इस संस्मरण में अपने परिवार के प्रति अपने प्यार और खुशी का वर्णन किया है। वह बताता है कि कैसे उसके माता-पिता ने उसके और उसके रिश्तेदारों के लिए सब कुछ नहीं दिया। जिस समुदाय में वे गए थे वह बहुत खुश था और उसके परिवार को भी उसे पसंद था। नार्सिसो वर्णन करता है कि कैसे वह और उसका परिवार अपनी @नाम1 संस्कृति को अपने साथ रखते हैं और वह इसे स्वीकार करते हैं। अंतिम वाक्य यह स्पष्ट रूप से कहता है कि ""मैं यह कभी नहीं भूलूंगा कि मेरे माता-पिता ने इस साधारण घर को घर में कैसे बदल दिया""। यह सब दिखाता है कि इस संस्मरण के दौरान उनका मूड एक साथ खुश, प्यार और आभारी है।",3,2,5
37,5,"लेखक @व्यक्ति1 संस्मरण के मूड में आभारी हैं। मुझे यह पता है, क्योंकि पैराग्राफ @संख्या1 @नाम1 में उनके पाक कौशल के बारे में बात की गई है और वह कितना आभारी है कि यह उसके पास गया। इससे हमें पता चलता है कि वह इस कौशल के लिए बहुत आभारी है, क्योंकि कुछ लोग खाना बनाना नहीं जानते हैं और खाना बनाना एक आशीर्वाद है। इससे हमें यह भी पता चलता है कि उसे अपनी संस्कृति पर गर्व है और वह एक व्यक्ति के रूप में है। @व्यक्ति2 उद्धरण ""मैं अपने प्यार और बलिदान के लिए अपने माता-पिता का हमेशा आभारी रहूंगा।"" @नाम2 में, यह हमें दिखाता है कि @व्यक्ति2 उन सभी की बहुत सराहना करता है जो उसके माता-पिता ने उसके लिए किए थे। यह भी कि वह अपने माता-पिता से बहुत प्यार करते थे और उन्हें जो भी मौका मिलता है, वह उन्हें धन्यवाद देते हैं। इसलिए संस्मरण में नार्सिसो आभारी होने के मूड को छोड़ देता है।",3,2,5
38,5,"लेखक के अपने बचपन के घर की व्याख्या ने प्यार और करुणा का मूड सेट किया। वह एक तरह से अपने माता-पिता के बारे में लिखते हैं जो पाठक को सूचित करते हैं कि वे बहुत अच्छे लोग थे। वह उनका वर्णन करता है, साथ ही साथ उनके समुदाय के अन्य लोग, ईमानदार, मेहनती, निस्वार्थ लोगों के रूप में। वह अपने माता-पिता, परिवार और जीवन की बहुत प्रशंसा के साथ कहानी लिखता है, जो बहुत सराहनीय है। वह वर्णन करता है कि वह केवल तीन कमरों वाले घर में रहता था, और फिर भी उसके माता-पिता ने उसमें से एक घर बनाया और दूसरों के रहने के लिए स्वागत किया। इस लेखक ने जो मनोदशा की, वह प्रेम और करुणा की थी, और उन्होंने यह समझाने का बहुत अच्छा काम किया कि उनके बचपन का घर उनके लिए क्या मायने रखता था।",2,2,4
39,5,"इस संस्मरण में, लेखक द्वारा संस्मरण में बनाए गए मूड हैं। संस्मरण में एक मनोदशा शांतिपूर्ण थी। इस अंश में यह कहा गया है, ""हमारे पड़ोस में, कहीं और रीति-रिवाजों के बावजूद, ये सभी संस्कृतियाँ एक साथ बड़ी एकांत और मित्रता में आ गईं।"" इसका मतलब यह है कि सभी को उस समय @नाम1 के अलगाव के विपरीत कोई लड़ाई नहीं मिली। एक और मूड नम्र है। पाठ के एक उद्धरण में कहा गया है, ""मैं अपने प्यार और बलिदान के लिए अपने माता-पिता के लिए हमेशा महान रहूंगा।"" इससे पता चलता है कि उनके माता-पिता @नाम3 @नाम3 से कोई फर्क नहीं पड़ता। अन्त में, लेखक ने मनोदशा का निर्माण किया। यह साबित करने के लिए @नाम3 ने कहा, ""उन्होंने मुझे अपने जीवन के साथ दिखाया, और ये शिक्षाएं मेरे जीवन का आधार रही हैं।"" @नाम3 का मतलब है कि उनके माता-पिता (वे) ने उन्हें आज सब कुछ दिखा दिया है @नाम3 जानता है। इसलिए, इस संस्मरण के मूड हैं जो लेखक द्वारा बनाए गए हैं।",3,3,6
40,5,"अपने संस्मरण में, ""@व्यक्ति1 एक खुश और प्यार भरा मूड बनाता है। ऐसे समय में जब @स्थान2, @व्यक्ति2 और उनके परिवार में नस्लवाद और अलगाव सामान्य था। न्यू जर्सी के न्यूार्क में उनके घर में कई खुशहाल समय था। उनका शहर उनके शहर से भर गया था। क्यूबा, ​​स्पैनिश और इतालवी आप्रवासी। उनका पड़ोस एकजुट और मेहनती था। अपने संस्मरण में, रोड्रिगेज अपने दयालु माता-पिता के बारे में लिखते हैं। संस्मरण में कहा गया है, ""मेरे माता-पिता ने हमेशा अपने हथियार और अपने दरवाजे कई लोगों के लिए खुले रखे हैं, जिन्हें हमने माना है। परिवार, यह जानते हुए कि वे हमारे लिए भी ऐसा ही करेंगे, ""(पैराग्राफ @संख्या1)। रोड्रिगेज का परिवार हमेशा दूसरों की मदद करने के लिए तैयार था क्योंकि उन्हें पता था कि एहसान वापस मिल जाएगा। रोड्रिगेज परिवार ने पड़ोस में सभी की मदद करने के लिए अपनी मजबूत दया का इस्तेमाल किया। वापसी, उनका सम्मान किया गया। इसके अलावा, नार्सिसो रोड्रिग्ज अपने माता-पिता की बहादुरी के बारे में लिखते हैं। वह लिखते हैं, ""वे निस्वार्थ रूप से आए, जैसे कि आप्रवासी अपने बच्चों को बेहतर जीवन देने के लिए करते हैं ...."" (पैराग्राफ @संख्या1-13)। माता-पिता अपने बच्चों की मदद करना चाहते थे और टी देना चाहते थे हेम बेहतर जीवन। उन्होंने अपनी ज़रूरतों का त्याग किया और अपने बच्चों की कामना की। @नाम1 अपने माता-पिता को उनके त्याग और प्रेम के कारण प्यार करता है। अंतिम लेकिन कम से कम, नार्सिसो रोड्रिग्ज अपने माता-पिता के संघर्षों के बारे में नहीं लिखता है। वह लिखते हैं ""उन्होंने व्यक्तिगत और आर्थिक रूप से संघर्ष किया ..."" (@संख्या3)। रोड्रिगेज परिवार ने नस्लवादी कृत्यों और अपने बच्चों के लिए अलग-अलग जलवायु के माध्यम से संघर्ष किया। वे अपने बच्चों को @स्थान2 में एक बेहतर जीवन देना चाहते थे जो क्यूबा में दिया गया था। कुल मिलाकर, नार्सिसो रोड्रिग्ज अपने माता-पिता के संघर्षों के बारे में लिखते हैं जो सुखद क्षणों का नेतृत्व करते हैं।",4,3,7
41,5,"इस लेख में जो मनोदशा है, वह दुःख, उत्तेजना और माता-पिता के प्रति आभारी होगी। नार्सिसो पाक कौशल और परंपराओं के लिए आभारी है जो उसके माता-पिता ने उस पर पारित किया। मेरे जीवन की तरह ही, मैं एक अपार्टमेंट में रहता था और अपने माता-पिता की वजह से आपके लिए देखभाल करने वाले किसी अन्य घर के रूप में इसे देखता था। इसके अलावा उस वातावरण में बढ़ते हुए उसे सिखाया गया कि परिवार को रक्त से संबंधित नहीं होना है, यह पड़ोसियों या दोस्तों को हो सकता है जो भाई, बहन, चाची, चाचा की तरह हो सकते हैं।",2,1,3
42,5,"इस कहानी में मनोदशा सुरक्षा और खुशी थी। जब सभी अलग-अलग संस्कृति और विरासत वाले सभी लोग बिना किसी झगड़े या तर्क के एक साथ रह सकते थे, जब @स्थान1 में नस्लीय तनाव बहुत ज्यादा था। खुशी को कई अलग-अलग तरीकों से दिखाया गया था। एक तरीका था जब वह अपने घर में गर्मी, संगीत और खाना पकाने का वर्णन कर रहा था। इसके अलावा, जब वह इस बारे में बात कर रहा था कि उसके माता-पिता ने उसके लिए कितना बलिदान दिया, उसके लिए वह कितना शुक्रगुज़ार था। कुल मिलाकर, @व्यक्ति1 इस बात से खुश था कि उसका पूरा बचपन कैसा था और ऐसा लग रहा था कि वह इसके हर आखिरी मिनट को प्यार करता था।",2,3,5
43,5,"संस्मरण में लेखक द्वारा बनाया गया मूड खुश है। वह खुश लगता है क्योंकि, वह अपने माता-पिता, अपने परिवार और अपने घर के बारे में बात करता है जो उसे खुश करते हैं। अनुच्छेद @संख्या1 में, लेखक इस बारे में बात करता है कि रक्त-संबंधी होने का परिवार के साथ क्या संबंध नहीं है। अनुच्छेद दो में, लेखक उस सरल घर के बारे में बात करता है जिसे उसके माता-पिता ने घर बनाया था। जब आप पैराग्राफ दो पढ़ते हैं, और वह घर का वर्णन कैसे करता है, तो लेखक आपको खुश महसूस करता है। अनुच्छेद @संख्या2 में, लेखक कहता है कि वह अपने माता-पिता और उनके द्वारा दिए गए जीवन के लिए हमेशा आभारी रहेगा। यह संस्मरण और लेखक द्वारा संस्मरण में बनाए गए कुछ उदाहरण हैं।",3,3,6
44,5,"@नाम2 के संस्मरण में कई मूड थे। @नाम1 की मनोदशा ज्यादातर अपने परिवार और दोस्तों के पास होने के लिए खुश और महान थी। @नाम1 दुःखी था क्योंकि @नाम1 ने उसके साथ अपने दादा-दादी नहीं थे @नाम1 ने कहा ""मुझे अपने असली माता-पिता नार्सिसो द एल्डर और कॉन्सुएलो को नहीं पता होगा, 1970 तक जब तक उन्हें क्यूबा छोड़ने की अनुमति नहीं थी।"" @नाम1 खुश था कि उसके माता-पिता कि उसके माता-पिता उसके लिए बेहतर जीवन जीने के लिए सब कुछ छोड़ गए। @नाम2 एक मजबूत व्यक्ति है और संस्मरण में बहुत अच्छे और बुरे मूड थे।",2,2,4
45,5,लेखक द्वारा बनाई गई मनोदशा ने मुझे खुश कर दिया कि मेरे पास क्या है और जो मैं गिविन हूं उसके लिए आभारी हूं। मैंने अपने जीवन के संस्मरण में व्यक्त लेखक के सभी मूड से यह सीखा। जैसा कि मैंने कहा कि यह लेखक द्वारा व्यक्त की गई मनोदशा है।,0,1,1
